Field Description,Name in Grib2 Control File,Grib2 pname,UPP ID
GSD_Convective Initiation Reflectivity,GSD_NCI_REFL_ON_ENTIRE_ATMOS,TSEC,709
GSD_Convective Activity Reflectivity,GSD_NCA_REFL_ON_ENTIRE_ATMOS,TSEC,710
**???**,GSD_EXP_CEILING_2,CEIL,711
**???**,AER_OPT_AQM_at550,AOTK,712
**???**,INST_USWRF_ON_TOP_OF_ATMOS,USWRF,719
**???**,GSD_ACM_SNOD_ON_SURFACE,ASNOW,725
**???**,VEG_MIN_ON_SURFACE,VEGMIN,726
**???**,GSD_UPHL_ON_SPEC_HGT_LVL_ABOVE_GRND_2-5km,UPHL,727
**???**,GSD_HAILCAST_HAIL_DIAMETER,HAIL,728
**???**,VEG_MAX_ON_SURFACE,VEGMAX,729
**???**,AVE_WIND_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,WIND,730
**???**,AVE_UGRD_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,UGRD,731
**???**,AVE_VGRD_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,VGRD,732
**???**,GSD_AVE_DSWRF_ON_SURFACE,DSWRF,733
**???**,GSD_AVE_SWDDNI_ON_SURFACE,VBDSF,734
**???**,AOD_ON_ENTIRE_ATMOS_SINGLE_LYR,AOTK,735
**???**,SMOKE_ON_ENTIRE_ATMOS_SINGLE_LYR,COLMD,736
**???**,SMOKE_ON_HYBRID_LVL,MASSDEN,737
**???**,SMOKE_ON_ISOBARIC_SFC,MASSDEN,738
**???**,SMOKE_ON_SPEC_HGT_LVL_ABOVE_GRND_8m,MASSDEN,739
**???**,MEAN_FIRE_RDIATV_PWR,CFNSF,740
**???**,DUST_ON_ENTIRE_ATMOS_SINGLE_LYR,COLMD,741
**???**,DUST_ON_HYBRID_LVL,MASSDEN,742
**???**,DUST_ON_ISOBARIC_SFC,MASSDEN,743
**???**,DUST_ON_SPEC_HGT_LVL_ABOVE_GRND_8m,MASSDEN,744
**???**,BIOMASS_BURNING_EMISSIONS,AEMFLX,745
**???**,ACM_GRAUPEL_ON_SURFACE,FROZR,746
Number concentration for cloud water drops on hybrid level,GSD_NCCD_ON_HYBRID_LVL,NCONCD,747
**???**,GSD_REFL_ON_SPEC_HGT_LVL_ABOVE_GRND_1km,REFD,748
RELATIVE HUMIDITY WITH RESPECT TO PRECIPITABLE WATER,GSD_RH_WRT_PRECIP_WATER_ON_ENTIRE_ATMOS,RH_PWAT,749
**???**,GSD_WV_MIXR_ON_HYBRID_LVL,MIXR,750
**???**,GSD_VPTMP_ON_HYBRID_LVL,VPTMP,751
Number concentration for ice particles on hybrid level,GSD_NCIP_ON_HYBRID_LVL,NCIP,752
GSD_pressure on Level of 0 deg (C) isotherm,GSD_PRES_ON_0C_ISOTHERM,PRES,753
**???**,GSD_NCRAIN_ON_HYBRID_LVL,NCRAIN,754
Hourly Wildfire Potential on surface,HWP_ON_SURFACE,FWINX,755
GSD_pressure on Highest tropospheric freezing level,GSD_PRES_ON_HGHST_TROP_FRZ_LVL,PRES,756
**???**,GSD_REFL_ON_SPEC_HGT_LVL_ABOVE_GRND_4km,REFD,757
**???**,GSD_HGT_ON_CONVECTIVE_CLOUD_TOP_LVL,HGT,758
**???**,GSD_MIXR_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,MIXR,760
**???**,GSD_INSIDE_SNOW_TMP_ON_SURFACE,TMP,761
**???**,GSD_MIXR_ON_SURFACE,MIXR,762
**???**,GSD_MIXR_ON_LFC,MIXR,763
**???**,CSDLF_ON_SURFACE,CSDLF,764
**???**,CSULF_ON_SURFACE,CSULF,765
**???**,GSD_NCWFA_ON_HYBRID_LVL,PMTF,766
**???**,GSD_NCIFA_ON_HYBRID_LVL,PMTC,767
Echo top height (Highest height in meters of the 18-dBZ reflectivity on a model level),GSD_ECHOTOP_ON_CLOUD_TOP,RETOP,768
**???**,GSD_VIL_ON_ENTIRE_ATMOS,VIL,769
**???**,GSD_RADARVIL_ON_ENTIRE_ATMOS,RADARVIL,770
**???**,INST_SWDDNI_ON_SURFACE,VBDSF,772
**???**,INST_SWDDIF_ON_SURFACE,VDDSF,773
**???**,FRACCC_ON_HYBRID_LVL,FRACCC,774
bucket graupel precipitation on surface,BUCKET_GRAUPEL_ON_SURFACE,FROZR,775
height on highest tropospheric -10C level,HGT_ON_HGHST_TROP_-10C_LVL,HGT,776
relative humidity on highest tropospheric -10C level,RH_ON_HGHST_TROP_-10C_LVL,RH,777
pressure on highest tropospheric -10C level,PRES_ON_HGHST_TROP_-10C_LVL,PRES,778
height on highest tropospheric -20C level,HGT_ON_HGHST_TROP_-20C_LVL,HGT,779
relative humidity on highest tropospheric -20C level,RH_ON_HGHST_TROP_-20C_LVL,RH,780
pressure on highest tropospheric -20C level,PRES_ON_HGHST_TROP_-20C_LVL,PRES,781
**???**,ACM_FRAIN_ON_SURFACE,FRZR,782
maximum u wind on 10 meter Above Ground,MAX_UGD_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,MAXUW,783
maximum v wind on 10 meter Above Ground,MAX_VGD_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,MAXVW,784
maximum reflectivity on -10C suface,MAX_REF_ON_ISOTHERMAL_-10C,REFD,785
**???**,GSD_MIN_UPHL_ON_SPEC_HGT_LVL_ABOVE_GRND_2-5km,MNUPHL,786
**???**,GSD_MAX_UPHL_ON_SPEC_HGT_LVL_ABOVE_GRND_0-2km,MXUPHL,788
**???**,GSD_MIN_UPHL_ON_SPEC_HGT_LVL_ABOVE_GRND_0-2km,MNUPHL,789
**???**,GSD_MAX_UPHL_ON_SPEC_HGT_LVL_ABOVE_GRND_0-3km,MXUPHL,790
**???**,GSD_MIN_UPHL_ON_SPEC_HGT_LVL_ABOVE_GRND_0-3km,MNUPHL,791
**???**,GSD_MAX_REL_VORT_ON_SPEC_HGT_LVL_ABOVE_GRND_0-2km,RELV,792
**???**,GSD_MAX_REL_VORT_ON_SPEC_HGT_LVL_ABOVE_GRND_0-1km,RELV,793
**???**,GSD_MAX_COLMAX_GRAUPEL_HAIL_DIAMETER,HAIL,794
**???**,GSD_MAX_SIGMA_LVL_MAX_GRAUPEL_HAIL_DIAMETER,HAIL,795
**???**,GSD_PRES1_ON_CLOUD_BASE,PRES,798
**???**,TCDC_ON_BOUND_LYR,TCDC,799
**???**,APTMP_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,APTMP,808
SSMI F13 (19H  19V  37H  37V  85H  85V),Not currently available for grib2,NA,800
SSMI F14 (19H  19V  37H  37V  85H  85V),Not currently available for grib2,NA,806
SSMI F15 (19H  19V  37H  37V  85H  85V),Not currently available for grib2,NA,812
SSMIS F16 (183H  19H  19V  37H  37V  85H  85V),Not currently available for grib2,NA,818
**??? SSMIS F17 (183H  19H  19V  37H  37V  85H  85V)**,SSMS1715_ON_TOP_OF_ATMOS,SSMS1715,825
**???**,SSMS1716_ON_TOP_OF_ATMOS,SSMS1716,826
**???**,SSMS1717_ON_TOP_OF_ATMOS,SSMS1717,827
**???**,SSMS1718_ON_TOP_OF_ATMOS,SSMS1718,828
SSMIS F18 (183H  19H  19V  37H  37V  85H  85V),Not currently available for grib2,NA,832
SSMIS F19 (183H  19H  19V  37H  37V  85H  85V),Not currently available for grib2,NA,839
SSMIS F20 (183H  19H  19V  37H  37V  85H  85V),Not currently available for grib2,NA,846
MTSAT-1r imager channels 1-4 (backup for mtsat2),Not currently available for grib2,NA,864
MTSAT2 imager channels 1-4,Not currently available for grib2,NA,860
Seviri brightness temperature channels 5-11,Not currently available for grib2,NA,876
Insat 3d brightness temperature IR channels 1-4,Not currently available for grib2,NA,865
Hourly max relative vorticity on hybrid level 1,GSD_MAX_REL_VORT_ON_SPEC_HGT_LVL_HYBRID1,RELV,890
**???**,REFD_ON_ISOTHERMAL,REFD,912
**???**,1H_FFG_EXCEEDANCE,FFLDRO,913
**???**,ACM_FFG_EXCEEDANCE,FFLDRO,914
**???**,1H_2YARI_EXCEEDANCE,GWLOWS,915
**???**,ACM_2YARI_EXCEEDANCE,GWLOWS,916
**???**,1H_5YARI_EXCEEDANCE,GWLOWS,917
**???**,ACM_5YARI_EXCEEDANCE,GWLOWS,918
**???**,1H_10YARI_EXCEEDANCE,GWLOWS,919
**???**,ACM_10YARI_EXCEEDANCE,GWLOWS,920
**???**,1H_100YARI_EXCEEDANCE,GWLOWS,921
**???**,ACM_100YARI_EXCEEDANCE,GWLOWS,922
Simulated GOES 16 band 7 brightness temperature,SBTA167_ON_TOP_OF_ATMOS,SBTA167,927
Simulated GOES 16 band 8 brightness temperature,SBTA168_ON_TOP_OF_ATMOS,SBTA168,928
Simulated GOES 16 band 9 brightness temperature,SBTA169_ON_TOP_OF_ATMOS,SBTA169,929
Simulated GOES 16 band 10 brightness temperature,SBTA1610_ON_TOP_OF_ATMOS,SBTA1610,930
Simulated GOES 16 band 11 brightness temperature,SBTA1611_ON_TOP_OF_ATMOS,SBTA1611,931
Simulated GOES 16 band 12 brightness temperature,SBTA1612_ON_TOP_OF_ATMOS,SBTA1612,932
Simulated GOES 16 band 13 brightness temperature,SBTA1613_ON_TOP_OF_ATMOS,SBTA1613,933
Simulated GOES 16 band 14 brightness temperature,SBTA1614_ON_TOP_OF_ATMOS,SBTA1614,934
Simulated GOES 16 band 15 brightness temperature,SBTA1615_ON_TOP_OF_ATMOS,SBTA1615,935
Simulated GOES 16 band 16 brightness temperature,SBTA1616_ON_TOP_OF_ATMOS,SBTA1616,936
Simulated GOES 17 band 7 brightness temperature,SBTA177_ON_TOP_OF_ATMOS,SBTA177,937
Simulated GOES 17 band 8 brightness temperature,SBTA178_ON_TOP_OF_ATMOS,SBTA178,938
Simulated GOES 17 band 9 brightness temperature,SBTA179_ON_TOP_OF_ATMOS,SBTA179,939
Simulated GOES 17 band 10 brightness temperature,SBTA1710_ON_TOP_OF_ATMOS,SBTA1710,940
Simulated GOES 17 band 11 brightness temperature,SBTA1711_ON_TOP_OF_ATMOS,SBTA1711,941
Simulated GOES 17 band 12 brightness temperature,SBTA1712_ON_TOP_OF_ATMOS,SBTA1712,942
Simulated GOES 17 band 13 brightness temperature,SBTA1713_ON_TOP_OF_ATMOS,SBTA1713,943
Simulated GOES 17 band 14 brightness temperature,SBTA1714_ON_TOP_OF_ATMOS,SBTA1714,944
Simulated GOES 17 band 15 brightness temperature,SBTA1715_ON_TOP_OF_ATMOS,SBTA1715,945
Simulated GOES 17 band 16 brightness temperature,SBTA1716_ON_TOP_OF_ATMOS,SBTA1716,946
**???**,CAPE_ON_0_3KM_ABOVE_GRND,CAPE,950
**???**,CIN_ON_0_3KM_ABOVE_GRND,CIN,951
**???**,HGT_ON_LFC,HGT,952
**???**,EFF_HLCY_ON_SPEC_HGT_LVL_ABOVE_GRND,EFHL,953
**???**,DOWNWARD_CAPE,DCAPE,954
**???**,DENDRITIC_LAYER_DEPTH,LAYTH,955
**???**,ENHANCED_STRETCHING_POTENTIAL,ESP,956
**???**,CRITICAL_ANGLE,DCAPE,957
Simulated GOES R band 7 brightness temperature,SBTAGR7_ON_TOP_OF_ATMOS,SBTAGR7,958
Simulated GOES R band 8 brightness temperature,SBTAGR8_ON_TOP_OF_ATMOS,SBTAGR8,959
Simulated GOES R band 9 brightness temperature,SBTAGR9_ON_TOP_OF_ATMOS,SBTAGR9,960
Simulated GOES R band 10 brightness temperature,SBTAGR10_ON_TOP_OF_ATMOS,SBTAGR10,961
Simulated GOES R band 11 brightness temperature,SBTAGR11_ON_TOP_OF_ATMOS,SBTAGR11,962
Simulated GOES R band 12 brightness temperature,SBTAGR12_ON_TOP_OF_ATMOS,SBTAGR12,963
Simulated GOES R band 13 brightness temperature,SBTAGR13_ON_TOP_OF_ATMOS,SBTAGR13,964
Simulated GOES R band 14 brightness temperature,SBTAGR14_ON_TOP_OF_ATMOS,SBTAGR14,965
Simulated GOES R band 15 brightness temperature,SBTAGR15_ON_TOP_OF_ATMOS,SBTAGR15,966
Simulated GOES R band 16 brightness temperature,SBTAGR16_ON_TOP_OF_ATMOS,SBTAGR16,967
**???**,ICETMP_ON_SURFACE,ICETMP,968
Simulated Himawari-8 band 7 brightness temperature,SBTAHI7_ON_TOP_OF_ATMOS,SBTAHI7,969
Simulated Himawari-8 band 8 brightness temperature,SBTAHI8_ON_TOP_OF_ATMOS,SBTAHI8,970
Simulated Himawari-8 band 9 brightness temperature,SBTAHI9_ON_TOP_OF_ATMOS,SBTAHI9,971
Simulated Himawari-8 band 10 brightness temperature,SBTAHI10_ON_TOP_OF_ATMOS,SBTAHI10,972
Simulated Himawari-8 band 11 brightness temperature,SBTAHI11_ON_TOP_OF_ATMOS,SBTAHI11,973
Simulated Himawari-8 band 12 brightness temperature,SBTAHI12_ON_TOP_OF_ATMOS,SBTAHI12,974
Simulated Himawari-8 band 13 brightness temperature,SBTAHI13_ON_TOP_OF_ATMOS,SBTAHI13,975
Simulated Himawari-8 band 14 brightness temperature,SBTAHI14_ON_TOP_OF_ATMOS,SBTAHI14,976
Simulated Himawari-8 band 15 brightness temperature,SBTAHI15_ON_TOP_OF_ATMOS,SBTAHI15,977
Simulated Himawari-8 band 16 brightness temperature,SBTAHI16_ON_TOP_OF_ATMOS,SBTAHI16,978
**???**,EFSH_ON_EFBL,EFSH,979
**???**,EFSH_ON_EFTL,EFSH,980
**???**,ELMELT_ON_EFTL,ELMELT,982
**???**,UESH_ON_EFL,UESH,983
**???**,VESH_ON_EFL,VESH,984
**???**,ESHR_ON_EFL,ESHR,985
**???**,UEID_ON_EFL,UEID,986
**???**,VEID_ON_EFL,VEID,987
**???**,E3KH_ON_EFL,E3KH,988
**???**,STPC_ON_EFL,STPC,989
**???**,SIGT_ON_EFL,SIGT,990
**???**,SCCP_ON_EFL,SCCP,991
**???**,MLFC_ON_EFL,MLFC,992
**???**,SIGH_ON_EFL,SIGH,993
**???**,AVE_OZCON_ON_HYBRID_LVL,OZCON,994
**???**,AVE_PM25TOT_ON_HYBRID_LVL,PMTF,995
**???**,LAND_FRAC,LANDFRC,996
**???**,INST_PREC_ADVEC_HEAT,PAHFLX,997
**???**,WATER_AQUIFER,WATERSA,998
**???**,ACM_EIWATER_ON_SURFACE,EIWATER,999
**???**,ACM_PLANTTR_ON_SURFACE,PLANTTR,1000
**???**,ACM_SOILSE_ON_SURFACE,SOILSE,1001
**???**,AVE_PREC_ADVEC_HEAT,PAHFLX,1002
**???**,BUCKET_FRAIN_ON_SURFACE,FRZR,1003
**???**,ACM_SNOWFALL_ON_SURFACE,TSNOWP,1004
**???**,BUCKET_SNOWFALL_ON_SURFACE,TSNOWP,1005
**???**,SDEN_ON_SURFACE,SDEN,1006
**???**,ICE_PROB_IFI_FLIGHT_LEVEL,ICPRB,1007
**???**,SLD_IFI_FLIGHT_LEVEL,SIPD,1008
**???**,ICE_SEV_CAT_IFI_FLIGHT_LEVEL,ICSEV,1009
**???**,WMO_ICE_SEV_CAT_IFI_FLIGHT_LEVEL,ICESEV,1010
**???**,COARSEPM_ON_ENTIRE_ATMOS_SINGLE_LYR,COLMD,1011
**???**,COARSEPM_ON_HYBRID_LVL,MASSDEN,1012
**???**,COARSEPM_ON_ISOBARIC_SFC,MASSDEN,1013
**???**,COARSEPM_ON_SPEC_HGT_LVL_ABOVE_GRND_8m,MASSDEN,1014
