Field Description,Name in Grib2 Control File,Grib2 pname,UPP ID
Moisture convergence in boundary layer (30 mb mean),MCONV_ON_SPEC_PRES_ABOVE_GRND,MCONV,88
Precipitable water in boundary layer (30 mb mean),PWAT_ON_SPEC_PRES_ABOVE_GRND,PWAT,89
U wind in boundary layer (30 mb mean),UGRD_ON_SPEC_PRES_ABOVE_GRND,UGRD,73
V wind in boundary layer (30 mb mean),VGRD_ON_SPEC_PRES_ABOVE_GRND,VGRD,74
Omega in boundary layer (30 mb mean),VVEL_ON_SPEC_PRES_ABOVE_GRND,VVEL,90
**Pressure on sigma level 0.98230**,PRES_ON_SIGMA_LVL_0.98230,PRES,91
**Temperature on sigma level 0.98230**,TMP_ON_SIGMA_LVL_0.98230,TMP,92
**Specific humidity on sigma level 0.98230**,SPFH_ON_SIGMA_LVL_0.98230,SPFH,93
**Relative humidity on sigma level 0.98230**,RH_ON_SIGMA_LVL_0.98230,RH,94
**U-wind on sigma level 0.98230**,UGRD_ON_SIGMA_LVL_0.98230,UGRD,95
**V-wind on sigma level 0.98230**,VGRD_ON_SIGMA_LVL_0.98230,VGRD,96
**Temperature on sigma level 0.89671**,TMP_ON_SIGMA_LVL_0.89671,TMP,97
**Temperature on sigma level 0.78483**,TMP_ON_SIGMA_LVL_0.78483,TMP,98
**Relative humidity on sigma level 0.47_1.0**,RH_ON_SIGMA_LVL_0.47_1.0,RH,99
**Relative humidity on sigma level 0.47_0.96**,RH_ON_SIGMA_LVL_0.47_0.96,RH,100
**Relative humidity on sigma level 0.18_0.47**,RH_ON_SIGMA_LVL_0.18_0.47,RH,101
**Relative humidity on sigma level 0.84_0.98**,RH_ON_SIGMA_LVL_0.84_0.98,RH,102
**Moisture convergence on sigma level 0.85_1.0**,MCONV_ON_SIGMA_LVL_0.85_1.0,MCONV,103
**Precipitable water on sigma level 0.33_1.0**,PWAT_ON_SIGMA_LVL_0.33_1.0,PWAT,104
Visibility,VIS_ON_SURFACE,VIS,180
Vegetation type,VGTYP_ON_SURFACE,VGTYP,218
Soil type,SOTYP_ON_SURFACE,SOTYP,219
Canopy conductance,CCOND_ON_SURFACE,CCOND,220
PBL height,HPBL_ON_SURFACE,HPBL,221
Slope type,SLTYP_ON_SURFACE,SLTYP,223
Snow depth,SNOD_ON_SURFACE,SNOD,224
Liquid soil moisture,SOILL_ON_DEPTH_BEL_LAND_SFC,SOILL,225
Snow free albedo,SNFALB_ON_SURFACE,SNFALB,226
Maximum snow albedo,MXSALB_ON_SURFACE,MXSALB,227
Canopy water evaporation,EVCW_ON_SURFACE,EVCW,228
Direct soil evaporation,EVBS_ON_SURFACE,EVBS,229
Plant transpiration,TRANS_ON_SURFACE,TRANS,230
Snow sublimation,SBSNO_ON_SURFACE,SBSNO,231
Air dry soil moisture,SMDRY_ON_SURFACE,SMDRY,232
Soil moist porosity,POROS_ON_SURFACE,POROS,233
Minimum stomatal resistance,RSMIN_ON_SURFACE,RSMIN,234
Number of root layers,RLYRS_ON_SURFACE,RLYRS,235
Soil moist wilting point,WILT_ON_SURFACE,WILT,236
Soil moist reference,SMREF_ON_SURFACE,SMREF,237
Canopy conductance - solar component,RCS_ON_SURFACE,RCS,238
Canopy conductance - temperature component,RCT_ON_SURFACE,RCT,239
Canopy conductance - humidity component,RCQ_ON_SURFACE,RCQ,240
Canopy conductance - soil component,RCSOL_ON_SURFACE,RCSOL,241
Potential evaporation,PEVPR_ON_SURFACE,PEVPR,242
Heat diffusivity on sigma surface,VEDH_ON_SIGMA_LVLS,VEDH,243
Surface wind gust,GUST_ON_SURFACE,GUST,245
Convective precipitation rate,CPRAT_ON_SURFACE,CPRAT,249
Radar reflectivity at certain above ground heights,REFD_ON_SPEC_HGT_LVL_ABOVE_GRND,REFD,253
MAPS Sea Level Pressure,MAPS_PRMSL_ON_MEAN_SEA_LVL,PRMSL,445
Total soil moisture,SOILM_ON_DEPTH_BEL_LAND_SFC,SOILM,36
Plant canopy surface water,CNWAT_ON_SURFACE,CNWAT,118
Accumulated storm surface runoff,ACM_SSRUN_ON_SURFACE,SSRUN,122
Accumulated baseflow runoff,ACM_BGRUN_ON_SURFACE,BGRUN,123
Fraction of frozen precipitation,CPOFP_ON_SURFACE,CPOFP,172
GSD Cloud Base pressure,GSD_MIN_UPHL_ON_SPEC_HGT_LVL_ABOVE_GRND_1-6km,MNUPHL,787
GSD Cloud Top pressure,GSD_PRES_ON_CLOUD_TOP,PRES,406
Averaged temperature tendency from grid scale latent heat release,AVE_LRGHR_ON_HYBRID_LVL,LRGHR,78
Averaged temperature tendency from convective latent heat release,AVE_CNVHR_ON_HYBRID_LVL,CNVHR,79
Average snow phase change heat flux,AVE_SNOHF_ON_SURFACE,SNOHF,136
Accumulated potential evaporation,ACM_PEVAP_ON_SURFACE,PEVAP,137
Highest freezing level relative humidity,RH_ON_HGHST_TROP_FRZ_LVL,RH,350
Maximum wind pressure level,PRES_ON_MAX_WIND,PRES,173
Maximum wind height,HGT_ON_MAX_WIND,HGT,174
U-component of maximum wind,UGRD_ON_MAX_WIND,UGRD,175
V-component of maximum wind,VGRD_ON_MAX_WIND,VGRD,176
**GSD cloud ceiling height**,GSD_HGT_ON_CLOUD_CEILING,HGT,408
GSD cloud top height,GSD_HGT_ON_CLOUD_TOP,HGT,409
**GSD visibility**,GSD_VIS_ON_SURFACE,VIS,410
Wind energy potential,WMIXE_ON_SPEC_HGT_LVL_ABOVE_GRND,WMIXE,411
U wind at 80 m above ground,UGRD_ON_SPEC_HGT_LVL_ABOVE_GRND,UGRD,412
V wind at 80 m above ground,VGRD_ON_SPEC_HGT_LVL_ABOVE_GRND,VGRD,413
Graupel on model surface,GRLE_ON_HYBRID_LVL,GRLE,415
Graupel on pressure surface,GRLE_ON_ISOBARIC_SFC,GRLE,416
**Continuous accumulated total precipitation**,CACM_APCP_ON_SURFACE,APCP,417
**Continuous accumulated convective precipitation**,CACM_ACPCP_ON_SURFACE,ACPCP,418
**Continuous accumulated grid-scale precipitation**,CACM_NCPCP_ON_SURFACE,NCPCP,419
Maximum updraft helicity,MAX_UPHL_ON_SPEC_HGT_LVL_ABOVE_GRND_2-5km,MXUPHL,420
Maximum 1km reflectivity,MAX_REF_ON_SPEC_HGT_LVL_ABOVE_GRND_1km,MAXREF,421
Maximum wind speed at 10m,MAX_WIND_ON_SPEC_HGT_LVL_ABOVE_GRND_10m,WIND,422
Maximum updraft vertical velocity,MAX_MAXUVV_ON_ISOBARIC_SFC_100-1000hpa,MAXUVV,423
Maximum downdraft vertical velocity,MAX_MAXDVV_ON_ISOBARIC_SFC_100-1000hpa,MAXDVV,424
Mean vertical velocity,AVE_DZDT_ON_SIGMA_LVL_0.5-0.8,DZDT,425
Radar echo top in KDT,HGT_ON_SPEC_HGT_LVL_ABOVE_GRND,HGT,426
Updraft helicity,UPHL_ON_SPEC_HGT_LVL_ABOVE_GRND_2-5km,MXUPHL,427
**Total column graupel**,TCOLG_ON_ENTIRE_ATMOS,TCOLG,428
Column integrated maximum graupel,MAXVIG_ON_ENTIRE_ATMOS_SINGLE_LYR,TCOLG,429
U-component of 0-1km level wind shear,VUCSH_ON_SPEC_HGT_LVL_ABOVE_GRND_0-1km,VUCSH,430
V-component of 0-1km level wind shear,VVCSH_ON_SPEC_HGT_LVL_ABOVE_GRND_0-1km,VVCSH,431
U-component of 0-6km level wind shear,VUCSH_ON_SPEC_HGT_LVL_ABOVE_GRND_0-6km,VUCSH,432
V-component of 0-6km level wind shear,VVCSH_ON_SPEC_HGT_LVL_ABOVE_GRND_0-6km,VVCSH,433
Total precipitation accumulated over user-specified bucket,BUCKET_APCP_ON_SURFACE,APCP,434
Convective precipitation accumulated over user-specified bucket,BUCKET_ACPCP_ON_SURFACE,ACPCP,435
Grid-scale precipitation accumulated over user-specified bucket,BUCKET_NCPCP_ON_SURFACE,NCPCP,436
Snow accumulated over user-specified bucket,BUCKET_WEASD_ON_SURFACE,WEASD,437
Model level fraction of rain for Ferrier scheme,FRAIN_ON_HYBRID_LVL,FRAIN,185
Model level fraction of ice for Ferrier scheme,FICE_ON_HYBRID_LVL,FICE,186
Model level riming factor for Ferrier scheme,RIME_ON_HYBRID_LVL,RIME,187
Model level total condensate for Ferrier scheme,TCOND_ON_HYBRID_LVL,TCOND,199
Height of sigma surface,HGT_ON_SIGMA_LVLS,HGT,205
Temperature on sigma surface,TMP_ON_SIGMA_LVLS,TMP,206
Specific humidity on sigma surface,SPFH_ON_SIGMA_LVLS,SPFH,207
U-wind on sigma surface,UGRD_ON_SIGMA_LVLS,UGRD,208
V-wind on sigma surface,VGRD_ON_SIGMA_LVLS,VGRD,209
Omega on sigma surface,VVEL_ON_SIGMA_LVLS,VVEL,210
Cloud water on sigma surface,CLMR_ON_SIGMA_LVLS,CLMR,211
Cloud ice on sigma surface,ICMR_ON_SIGMA_LVLS,ICMR,212
Rain on sigma surface,RWMR_ON_SIGMA_LVLS,RWMR,213
Snow on sigma surface,SNMR_ON_SIGMA_LVLS,SNMR,214
Condensate on sigma surface,TCOND_ON_SIGMA_LVLS,TCOND,215
Pressure on sigma surface,PRES_ON_SIGMA_LVLS,PRES,216
Turbulent kinetic energy on sigma surface,TKE_ON_SIGMA_LVLS,TKE,217
Cloud fraction on sigma surface,TCDC_ON_SIGMA_LVLS,TCDC,222
Graupel on sigma surface,GRLE_ON_SIGMA_LVLS,GRLE,255
LCL level pressure,PLPL_ON_SPEC_PRES_ABOVE_GRND,PLPL,246
LOWEST WET BULB ZERO HEIGHT,HGT_ON_LWST_LVL_OF_WET_BULB_ZERO,HGT,247
Leaf area index,LAI_ON_SURFACE,LAI,254
Accumulated land surface model precipitation,ACM_LSPA_ON_SURFACE,LSPA,256
In-flight icing,TIPD_ON_ISOBARIC_SFC,TIPD,257
Clear air turbulence,TPFI_ON_ISOBARIC_SFC,TPFI,258
Wind shear between shelter level and 2000 FT,VWSH_ON_SPEC_HGT_LVL_ABOVE_GRND,VWSH,259
Ceiling,HGT_ON_CLOUD_CEILING,HGT,260
Flight restriction,VIS_ON_CLOUD_BASE,VIS,261
Instantaneous clear sky incoming surface shortwave,INST_CSDSF_ON_SURFACE,CSDSF,262
Pressure level riming factor for Ferrier scheme,RIME_ON_ISOBARIC_SFC,RIME,263
Model level vertical velocity,DZDT_ON_HYBRID_LVL,DZDT,264
Brightness temperature,SBT122_ON_TOP_OF_ATMOS_FROM_LWRAD,SBT122,265
Average albedo,AVE_ALBDO_ON_SURFACE,ALBDO,266
Ozone on model surface,O3MR_ON_HYBRID_LVL,O3MR,267
Ozone on pressure surface,O3MR_ON_ISOBARIC_SFC,O3MR,268
Surface zonal momentum flux,AVE_UFLX_ON_SURFACE,UFLX,269
Surface meridional momentum flux,AVE_VFLX_ON_SURFACE,VFLX,270
Average precipitation rate,AVE_PRATE_ON_SURFACE,PRATE,271
Average convective precipitation rate,AVE_CPRAT_ON_SURFACE,CPRAT,272
**Pressure on ???**,PRES_ON_HYBRID_LVL_LLM,PRES,273
Instantaneous outgoing longwave at top of atmosphere,INST_ULWRF_ON_TOP_OF_ATMOS,ULWRF,274
Total spectrum brightness temperature,BRTMP_ON_TOP_OF_ATMOS,BRTMP,275
Model top pressure,PRES_ON_TOP_OF_ATMOS,PRES,282
Composite rain radar reflectivity,REFZR_ON_ENTIRE_ATMOS,REFZR,276
Composite ice radar reflectivity,REFZI_ON_ENTIRE_ATMOS,REFZI,277
Composite radar reflectivity from convection,REFZC_ON_ENTIRE_ATMOS,REFZC,278
Rain radar reflecting angle,REFZR_ON_SPEC_HGT_LVL_ABOVE_GRND,REFZR,279
Ice radar reflecting angle,REFZI_ON_SPEC_HGT_LVL_ABOVE_GRND,REFZI,280
Convection radar reflecting angle,REFZC_ON_SPEC_HGT_LVL_ABOVE_GRND,REFZC,281
**Pressure on ???**,PRES_ON_HYBRID_LVL_1L,PRES,283
Model level vertical velocity,DZDT_ON_ISOBARIC_SFC,DZDT,284
Column integrated super cool liquid water,TCLSW_ON_ENTIRE_ATMOS,TCLSW,285
Column integrated melting ice,TCOLM_ON_ENTIRE_ATMOS,TCOLM,286
Height of lowest level super cool liquid water,HGT_ON_LWST_BOT_LVL_OF_SUPERCOOLED_LIQ_WATER_LYR,HGT,287
Height of highest level super cool liquid water,HGT_ON_HGHST_TOP_LVL_OF_SUPERCOOLED_LIQ_WATER_LYR,HGT,288
Richardson number planetary boundary layer height,HGT_ON_PLANETARY_BOUND_LYR,HGT,289
Total column shortwave temperature tendency,SWHR_ON_ENTIRE_ATMOS,SWHR,290
Total column longwave temperature tendency,LWHR_ON_ENTIRE_ATMOS,LWHR,291
Total column gridded temperature tendency,AVE_LRGHR_ON_ENTIRE_ATMOS,LRGHR,292
Total column convective temperature tendency,AVE_CNVHR_ON_ENTIRE_ATMOS,CNVHR,293
Radiative flux temperature tendency on pressure level,TTRAD_ON_ISOBARIC_SFC,TTRAD,294
Column integrated moisture convergence,MCONV_ON_ENTIRE_ATMOS,MCONV,295
**Temperature on ???**,TMP_ON_SIGMA_LVL_HPC,TMP,296
Time averaged clear sky incoming UV-B shortwave,AVE_CDUVB_ON_SURFACE,CDUVB,297
Time averaged incoming UV-B shortwave,AVE_DUVB_ON_SURFACE,DUVB,298
Total column ozone,TOZNE_ON_ENTIRE_ATMOS_SINGLE_LYR,TOZNE,299
Average low cloud fraction,AVE_TCDC_ON_LOW_CLOUD_LYR,TCDC,300
Average mid cloud fraction,AVE_TCDC_ON_MID_CLOUD_LYR,TCDC,301
Average high cloud fraction,AVE_TCDC_ON_HIGH_CLOUD_LYR,TCDC,302
Average low cloud bottom pressure,AVE_PRES_ON_LOW_CLOUD_BOT_LVL,PRES,303
Average low cloud top pressure,AVE_PRES_ON_LOW_CLOUD_TOP_LVL,PRES,304
