Field Description,Name in Grib2 Control File,Grib2 pname,UPP ID
Accumulated large scale snow,Not currently available for grib2,NA,244
Surface wind gust,GUST_ON_SURFACE,GUST,245
LCL level pressure,PLPL_ON_SPEC_PRES_ABOVE_GRND,PLPL,246
LOWEST WET BULB ZERO HEIGHT,HGT_ON_LWST_LVL_OF_WET_BULB_ZERO,HGT,247
Convective precipitation rate,CPRAT_ON_SURFACE,CPRAT,249
Radar reflectivity on model surface,REFD_ON_HYBRID_LVL,REFD,250
Radar reflectivity on pressure surface,REFD_ON_ISOBARIC_SFC,REFD,251
Composite radar reflectivity,REFC_ON_ENTIRE_ATMOS,REFC,252
Radar reflectivity at certain above ground heights,REFD_ON_SPEC_HGT_LVL_ABOVE_GRND,REFD,253
Leaf area index,LAI_ON_SURFACE,LAI,254
Graupel on sigma surface,GRLE_ON_SIGMA_LVLS,GRLE,255
Accumulated land surface model precipitation,ACM_LSPA_ON_SURFACE,LSPA,256
In-flight icing,TIPD_ON_ISOBARIC_SFC,TIPD,257
Clear air turbulence,TPFI_ON_ISOBARIC_SFC,TPFI,258
Wind shear between shelter level and 2000 FT,VWSH_ON_SPEC_HGT_LVL_ABOVE_GRND,VWSH,259
Ceiling,HGT_ON_CLOUD_CEILING,HGT,260
Flight restriction,VIS_ON_CLOUD_BASE,VIS,261
Instantaneous clear sky incoming surface shortwave,INST_CSDSF_ON_SURFACE,CSDSF,262
Pressure level riming factor for Ferrier scheme,RIME_ON_ISOBARIC_SFC,RIME,263
Model level vertical velocity,DZDT_ON_HYBRID_LVL,DZDT,264
Brightness temperature,SBT122_ON_TOP_OF_ATMOS_FROM_LWRAD,SBT122,265
Average albedo,AVE_ALBDO_ON_SURFACE,ALBDO,266
Ozone on model surface,O3MR_ON_HYBRID_LVL,O3MR,267
Ozone on pressure surface,O3MR_ON_ISOBARIC_SFC,O3MR,268
Surface zonal momentum flux,AVE_UFLX_ON_SURFACE,UFLX,269
Surface meridional momentum flux,AVE_VFLX_ON_SURFACE,VFLX,270
Average precipitation rate,AVE_PRATE_ON_SURFACE,PRATE,271
Average convective precipitation rate,AVE_CPRAT_ON_SURFACE,CPRAT,272
**Sigma pressure thickness on model surface**,PRES_ON_HYBRID_LVL_LLM,PRES,273
Instantaneous outgoing longwave at top of atmosphere,INST_ULWRF_ON_TOP_OF_ATMOS,ULWRF,274
Total spectrum brightness temperature,BRTMP_ON_TOP_OF_ATMOS,BRTMP,275
Composite rain radar reflectivity,REFZR_ON_ENTIRE_ATMOS,REFZR,276
Composite ice radar reflectivity,REFZI_ON_ENTIRE_ATMOS,REFZI,277
Composite radar reflectivity from convection,REFZC_ON_ENTIRE_ATMOS,REFZC,278
Rain radar reflecting angle,REFZR_ON_SPEC_HGT_LVL_ABOVE_GRND,REFZR,279
Ice radar reflecting angle,REFZI_ON_SPEC_HGT_LVL_ABOVE_GRND,REFZI,280
Convection radar reflecting angle,REFZC_ON_SPEC_HGT_LVL_ABOVE_GRND,REFZC,281
Model top pressure,PRES_ON_TOP_OF_ATMOS,PRES,282
**Pressure thickness on model surface**,PRES_ON_HYBRID_LVL_1L,PRES,283
Model level vertical velocity,DZDT_ON_ISOBARIC_SFC,DZDT,284
Column integrated super cool liquid water,TCLSW_ON_ENTIRE_ATMOS,TCLSW,285
Column integrated melting ice,TCOLM_ON_ENTIRE_ATMOS,TCOLM,286
Height of lowest level super cool liquid water,HGT_ON_LWST_BOT_LVL_OF_SUPERCOOLED_LIQ_WATER_LYR,HGT,287
Height of highest level super cool liquid water,HGT_ON_HGHST_TOP_LVL_OF_SUPERCOOLED_LIQ_WATER_LYR,HGT,288
Richardson number planetary boundary layer height,HGT_ON_PLANETARY_BOUND_LYR,HGT,289
Total column shortwave temperature tendency,SWHR_ON_ENTIRE_ATMOS,SWHR,290
Total column longwave temperature tendency,LWHR_ON_ENTIRE_ATMOS,LWHR,291
Total column gridded temperature tendency,AVE_LRGHR_ON_ENTIRE_ATMOS,LRGHR,292
Total column convective temperature tendency,AVE_CNVHR_ON_ENTIRE_ATMOS,CNVHR,293
Radiative flux temperature tendency on pressure level,TTRAD_ON_ISOBARIC_SFC,TTRAD,294
Column integrated moisture convergence,MCONV_ON_ENTIRE_ATMOS,MCONV,295
**Temperature on sigma levels ???**,TMP_ON_SIGMA_LVL_HPC,TMP,296
Time averaged clear sky incoming UV-B shortwave,AVE_CDUVB_ON_SURFACE,CDUVB,297
Time averaged incoming UV-B shortwave,AVE_DUVB_ON_SURFACE,DUVB,298
Total column ozone,TOZNE_ON_ENTIRE_ATMOS_SINGLE_LYR,TOZNE,299
Average low cloud fraction,AVE_TCDC_ON_LOW_CLOUD_LYR,TCDC,300
Average mid cloud fraction,AVE_TCDC_ON_MID_CLOUD_LYR,TCDC,301
Average high cloud fraction,AVE_TCDC_ON_HIGH_CLOUD_LYR,TCDC,302
Average low cloud bottom pressure,AVE_PRES_ON_LOW_CLOUD_BOT_LVL,PRES,303
Average low cloud top pressure,AVE_PRES_ON_LOW_CLOUD_TOP_LVL,PRES,304
Average low cloud top temperature,AVE_TMP_ON_LOW_CLOUD_TOP_LVL,TMP,305
Average mid cloud bottom pressure,AVE_PRES_ON_MID_CLOUD_BOT_LVL,PRES,306
Average mid cloud top pressure,AVE_PRES_ON_MID_CLOUD_TOP_LVL,PRES,307
Average mid cloud top temperature,AVE_TMP_ON_MID_CLOUD_TOP_LVL,TMP,308
Average high cloud bottom pressure,AVE_PRES_ON_HIGH_CLOUD_BOT_LVL,PRES,309
Average high cloud top pressure,AVE_PRES_ON_HIGH_CLOUD_TOP_LVL,PRES,310
Average high cloud top temperature,AVE_TMP_ON_HIGH_CLOUD_TOP_LVL,TMP,311
Total column relative humidity,RH_ON_ENTIRE_ATMOS_SINGLE_LYR,RH,312
Cloud work function,AVE_CWORK_ON_ENTIRE_ATMOS_SINGLE_LYR,CWORK,313
Temperature at maximum wind level,TMP_ON_MAX_WIND,TMP,314
Time averaged zonal gravity wave stress,AVE_U-GWD_ON_SURFACE,U-GWD,315
Time averaged meridional gravity wave stress,AVE_V-GWD_ON_SURFACE,V-GWD,316
Average precipitation type,AVE_CRAIN_ON_SURFACE,CRAIN,317
**Relative humidity on sigma level 0.44-1.0**,RH_ON_SIGMA_LVL_0.44-1.0,RH,318
**Relative humidity on sigma level 0.72-0.94**,RH_ON_SIGMA_LVL_0.72-0.94,RH,319
**Relative humidity on sigma level 0.44-0.72**,RH_ON_SIGMA_LVL_0.44-0.72,RH,320
**Temperature on sigma level 0.9950**,TMP_ON_SIGMA_LVL_0.9950,TMP,321
**Potential temperature on sigma level 0.9950**,POT_ON_SIGMA_LVL_0.9950,POT,322
**Relative humidity on sigma level 0.9950**,RH_ON_SIGMA_LVL_0.9950,RH,323
**U-wind at sigma level 0.9950**,UGRD_ON_SIGMA_LVL_0.9950,UGRD,324
**V-wind at sigma level 0.9950**,VGRD_ON_SIGMA_LVL_0.9950,VGRD,325
**Omega at sigma level 0.9950**,VVEL_ON_SIGMA_LVL_0.9950,VVEL,326
Simulated GOES 12 channel 2 brightness temperature,SBT122_ON_TOP_OF_ATMOS,SBT122,327
Simulated GOES 12 channel 3 brightness temperature,SBT123_ON_TOP_OF_ATMOS,SBT123,328
Simulated GOES 12 channel 4 brightness temperature,SBT124_ON_TOP_OF_ATMOS,SBT124,329
Simulated GOES 12 channel 5 brightness temperature,SBT126_ON_TOP_OF_ATMOS,SBT126,330
Cloud fraction on pressure surface,TCDC_ON_ISOBARIC_SFC,TCDC,331
U-wind on theta surface,UGRD_ON_ISENTROPIC_LVL,UGRD,332
V-wind on theta surface,VGRD_ON_ISENTROPIC_LVL,VGRD,333
Temperature on theta surface,TMP_ON_ISENTROPIC_LVL,TMP,334
Potential vorticity on theta surface,PVORT_ON_ISENTROPIC_LVL,PVORT,335
U wind on constant PV surface,UGRD_ON_POT_VORT_SFC,UGRD,336
V wind on constant PV surface,VGRD_ON_POT_VORT_SFC,VGRD,337
Temperature on constant PV surface,TMP_ON_POT_VORT_SFC,TMP,338
Height on constant PV surface,HGT_ON_POT_VORT_SFC,HGT,339
Pressure on constant PV surface,PRES_ON_POT_VORT_SFC,PRES,340
Wind shear on constant PV surface,VWSH_ON_POT_VORT_SFC,VWSH,341
Planetary boundary layer cloud fraction,AVE_TCDC_ON_BOUND_LYR_CLOUD_LYR,TCDC,342
Average water runoff,ACM_WATR_ON_SURFACE,WATR,343
Planetary boundary layer regime,PBLREG_ON_SURFACE,PBLREG,344
Maximum 2m temperature,MAX_TMAX_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,TMAX,345
Minimum 2m temperature,MIN_TMIN_ON_SPEC_HGT_LVL_ABOVE_GRND_2m,TMIN,346
