No.,Field Description,Level Type,Short Name,nlvl
99,Accumulated grid-scale precipitation,surface,NCPCP,1
100,Continuous accumulated total precipitation,surface,APCP,1
101,Continuous accumulated grid-scale precipitation,surface,NCPCP,1
102,Accumulated snowfall,surface,WEASD,1
103,Accumulated total snow melt,surface,SNOM,1
104,Accumulated storm surface runoff,surface,SSRUN,1
105,Accumulated base flow runoff,surface,BGRUN,1
106,Average water runoff,surface,WATR,1
107,Categorical rain (instantaneous),surface,CRAIN,1
108,Categorical snow (instantaneous),surface,CSNOW,1
109,Categorical ice pellets (instantaneous),surface,CICEP,1
110,Categorical freezing rain (instantaneous),surface,CFRZR,1
111,Precipitation rate (instantaneous),surface,PRATE,1
112,Fraction of frozen precipitation,surface,CPOFP,1
113,Cloud water mixing ratio on model surface,hybrid,CLWMR,2
114,Cloud ice mixing ratio on model surface,hybrid,ICMR,2
115,Graupel mixing ratio on model surface,hybrid,GRLE,1
116,Cloud fraction on model surface,hybrid,TCDC,2
117,Low level cloud fraction,low cloud layer,LCDC,1
118,Mid level cloud fraction,mid cloud layer,MCDC,1
119,High level cloud fraction,high cloud layer,HCDC,1
120,Total cloud fraction,entire atmosphere,TCDC,1
121,Total cloud fraction (time-averaged),entire atmosphere,TCDC,1
122,stratospheric cloud fraction (time-averaged),entire atmosphere,CDLYR,1
123,Visibility,surface,VIS,1
124,GSD visibility,cloud top,VIS,1
125,Above-ground height of LCL,adiabatic condensation from surface,HGT,1
126,Pressure of LCL,adiabatic condensation from surface,PRES,1
127,Outgoing surface shortwave radiation (instantaneous),surface,USWRF,1
128,Outgoing surface longwave radiation (instantaneous),surface,ULWRF,1
129,Incoming surface shortwave radiation (time-averaged),surface,DSWRF,1
130,Incoming surface longwave radiation (time-averaged),surface,DLWRF,1
131,Outgoing surface shortwave radiation (time-averaged),surface,USWRF,1
132,Outgoing surface longwave radiation (time-averaged),surface,ULWRF,1
133,Outgoing model top shortwave radiation (time-averaged),top of atmosphere,USWRF,1
134,Outgoing model top longwave radiation (time-averaged),top of atmosphere,ULWRF,1
135,Outgoing longwave at top of atmosphere (instantaneous),top of atmosphere,ULWRF,1
136,Total spectrum brightness temperature,top of atmosphere,BRTMP,1
137,Incoming surface shortwave radiation (instantaneous),surface,DSWRF,1
138,Incoming surface longwave radiation (instantaneous),surface,DLWRF,1
139,Clear sky incoming surface shortwave (instantaneous),surface,CSDSF,1
140,Roughness length,surface,SFCR,1
141,Friction velocity,surface,FRICV,1
142,Surface drag coefficient,surface,CD,1
143,Surface u wind stress,surface,UFLX,1
144,Surface v wind stress,surface,VFLX,1
145,Surface sensible heat flux (time-averaged),surface,SHTFL,1
146,Ground heat flux (time-averaged),surface,GFLUX,1
147,Snow phase change heat flux (time-averaged),surface,SNOHF,1
148,Surface latent heat flux (time-averaged),surface,LHTFL,1
149,Accumulated surface evaporation,surface,EVP,1
150,Accumulated potential evaporation,surface,PEVAP,1
151,Surface sensible heat flux (instantaneous),surface,SHTFL,1
152,Surface latent heat flux (instantaneous),surface,LHTFL,1
153,Latitude,surface,NLAT,1
154,Longitude,surface,ELON,1
155,Land sea mask (land=1 sea=0),surface,LAND,1
156,Sea ice mask,surface,ICEC,1
157,Surface albedo,surface,ALBDO,1
158,Sea surface temperature,surface,WTMP,1
159,Pressure at tropopause,tropopause,PRES,1
160,Height at tropopause,tropopause,HGT,1
161,Temperature at tropopause,tropopause,TMP,1
162,Potential temperature at tropopause,tropopause,POT,1
163,U component of wind at tropopause,tropopause,UGRD,1
164,V component of wind at tropopause,tropopause,VGRD,1
165,Wind shear at tropopause,tropopause,VWSH,1
166,U component of 0-6km level wind shear,height agl,VUCSH,1
167,V-component of 0-6km level wind shear,height agl,VVCSH,1
168,Temperature at flight levels,height msl,TMP,10
169,Temperature at flight levels,height agl,TMP,4
170,U component of wind at flight levels,height msl,UGRD,10
171,U component of wind at flight levels,height agl,UGRD,4
172,V component of wind at flight levels,height msl,VGRD,10
173,V component of wind at flight levels,height agl,VGRD,4
174,Specific humidity at flight levels,height msl,SPFH,1
175,Specific humidity at flight levels,height agl,SPFH,4
176,Pressure at flight levels,height agl,PRES,4
177,Freezing level height,0 degree isotherm,HGT,1
178,Freezing level relative humidity,0 degree isotherm,RH,1
179,Highest freezing level height,highest tropospheric frz lvl,HGT,1
180,Lowest wet bulb zero height,lowest lvl wet bulb zero,HGT,1
181,Pressure in boundary layer (30 mb means),pressure agl,PRES,6
182,Temperature in boundary layer (30 mb means),pressure agl,TMP,6
183,Potential temperature in boundary layer (30 mb means),pressure agl,POT,1
184,Dew point temperature in boundary layer (30 mb means),pressure agl,DPT,1
185,Specific humidity in boundary layer (30 mb means),pressure agl,SPFH,6
186,RH in boundary layer (30 mb means),pressure agl,RH,6
187,Moisture convergence in boundary layer (30 mb means),pressure agl,MCONV,1
188,Precipitable water in boundary layer (30 mb means),pressure agl,PWAT,1
189,U wind in boundary layer (30 mb means),pressure agl,UGRD,6
190,V wind in boundary layer (30 mb means),pressure agl,VGRD,6
191,Omega in boundary layer (30 mb means),pressure agl,VVEL,3
192,Cloud bottom pressure,cloud base,PRES,1
193,Cloud top pressure,cloud top,PRES,1
194,Cloud top temperature,cloud top,TMP,1
195,Cloud bottom height (above MSL),cloud base,HGT,1
196,Cloud top height (above MSL),cloud top,HGT,1
197,Maximum wind pressure level,max wind,PRES,1
198,Maximum wind height,max wind,HGT,1
199,U-component of maximum wind,max wind,UGRD,1
200,V-component of maximum wind,max wind,VGRD,1
201,Composite radar reflectivity,entire atmosphere,REFC,1
202,Composite rain radar reflectivity,entire atmosphere,REFZR,1
203,Composite ice radar reflectivity,entire atmosphere,REFZI,1
204,Radar reflectivity at certain above ground heights,height agl,REFD,2
205,Radar reflectivity from rain,height agl,REFZR,2
206,Radar reflectivity from ice,height agl,REFZI,2
207,Planetary boundary layer height,surface,HPBL,1
208,Grid scale cloud bottom pressure,grid scale cloud bottom,PRES,1
209,Grid scale cloud top pressure,grid scale cloud top,PRES,1
210,Column integrated cloud water,entire atmosphere,TCOLW,1
211,Column integrated cloud ice,entire atmosphere,TCOLI,1
212,Column integrated rain,entire atmosphere,TCOLR,1
213,Column integrated snow,entire atmosphere,TCOLS,1
214,Column integrated total condensate,entire atmosphere,TCOLC,1
215,Column integrated graupel,entire atmosphere,TCOLG,1
216,Column integrated super cool liquid water,entire atmosphere,TCLSW,1
217,Column integrated melting ice,entire atmosphere,TCOLM,1
218,Height of lowest level super cool liquid water,lwst bot lvl of supercooled liq wtr,HGT,1
219,Height of highest level super cool liquid water,hghst top lvl of supercooled liq wtr,HGT,1
220,Ceiling height,cloud ceiling,HGT,1
221,Accumulated land surface model precipitation,surface,LSPA,1
222,Model top pressure,top of atmosphere,PRES,1
223,Total column shortwave temperature tendency,entire atmosphere,SWHR,1
224,Total column longwave temperature tendency,entire atmosphere,LWHR,1
225,Total column gridded temperature tendency,entire atmosphere,LRGHR,1
226,Column integrated moisture convergence,entire atmosphere,MCONV,1
227,Temperature on sigma levels,sigma level,TMP,5
228,Planetary boundary layer regime,surface,PBLREG,1
229,Transport wind u component,planetary boundary layer,UGRD,1
230,Transport wind v component,planetary boundary layer,VGRD,1
231,Richardson number planetary boundary layer height,planetary boundary layer,HGT,1
232,Mixing height,surface,MIXHT,1
233,Radar echo top,entire atmosphere,RETOP,1
234,Ventilation rate,planetary boundary layer,VRATE,1
235,Haines index,surface,HINDEX,1
236,Maximum 2m temperature,height agl,TMAX,1
237,Minimum 2m temperature,height agl,TMIN,1
238,Maximum 2m RH,height agl,MAXRH,1
239,Minimum 2m RH,height agl,MINRH,1
240,Maximum U-component wind at 10m,height agl,MAXUW,1
241,Maximum V-component wind at 10m,height agl,MAXVW,1
242,Maximum wind speed at 10m,height agl,WIND,1
243,Maximum 1km reflectivity,height agl,MAXREF,1
244,Maximum updraft vertical velocity,isobaric layer,MAXUVV,1
245,Maximum downdraft vertical velocity,isobaric layer,MAXDVV,1
246,Lightning,surface,LTNG,1
247,Radar derived vertically integrated liquid,entire atmosphere,VIL,1
248,Updraft helicity (2-5 km),height agl,UPHL,1
249,Maximum updraft helicity (2-5 km),height agl,MXUPHL,1
250,Minimum updraft helicity (2-5 km),height agl,MNUPHL,1
251,Minimum updraft helicity (0-3 km),height agl,MNUPHL,1
252,Maximum updraft helicity (0-3 km),height agl,MXUPHL,1
253,Maximum relative vertical vorticity (0-1 km),height agl,RELV,1
254,Maximum relative vertical vorticity at hybrid level 1,hybrid,RELV,1
255,Maximum relative vertical vorticity (0-2 km),height agl,RELV,1
256,Maximum derived radar reflectivity at -10 C,isothermal,MAXREF,1
257,Radar reflectivity at -10 C,isothermal,REFD,1
