No.,Field Description,Level Type,Short Name,nlvl
86,Model level fraction of rain for Ferrier scheme,hybrid,FRAIN,64
87,Model level fraction of ice for Ferrier scheme,hybrid,FICE,64
88,Low level cloud fraction,low cloud layer,LCDC,1
89,Mid level cloud fraction,mid cloud layer,MCDC,1
90,High level cloud fraction,high cloud layer,HCDC,1
91,Total cloud fraction,entire atmosphere,TCDC,1
92,Total cloud fraction (time-averaged),entire atmosphere,TCDC,1
93,stratospheric cloud fraction (time-averaged),entire atmosphere,CDLYR,1
94,Outgoing surface shortwave radiation (instantaneous),surface,USWRF,1
95,Outgoing surface longwave radiation (instantaneous),surface,ULWRF,1
96,Incoming surface shortwave radiation (time-averaged),surface,DSWRF,1
97,Incoming surface longwave radiation (time-averaged),surface,DLWRF,1
98,Outgoing surface shortwave radiation (time-averaged),surface,USWRF,1
99,Outgoing surface longwave radiation (time-averaged),surface,ULWRF,1
100,Outgoing model top shortwave radiation (time-averaged),top of atmosphere,USWRF,1
101,Outgoing model top longwave radiation (time-averaged),top of atmosphere,ULWRF,1
102,Incoming surface shortwave radiation (instantaneous),surface,DSWRF,1
103,Incoming surface longwave radiation (instantaneous),surface,DLWRF,1
104,Clear sky incoming surface shortwave (instantaneous),surface,CSDSF,1
105,Roughness length,surface,SFCR,1
106,Friction velocity,surface,FRICV,1
107,Surface drag coefficient,surface,CD,1
108,Surface u wind stress,surface,UFLX,1
109,Surface v wind stress,surface,VFLX,1
110,Surface sensible heat flux (time-averaged),surface,SHTFL,1
111,Ground heat flux (time-averaged),surface,GFLUX,1
112,Snow phase change heat flux (time-averaged),surface,SNOHF,1
113,Surface latent heat flux (time-averaged),surface,LHTFL,1
114,Accumulated surface evaporation,surface,EVP,1
115,Accumulated potential evaporation,surface,PEVAP,1
116,Surface sensible heat flux (instantaneous),surface,SHTFL,1
117,Surface latent heat flux (instantaneous),surface,LHTFL,1
118,Latitude,surface,NLAT,1
119,Longitude,surface,ELON,1
120,Land sea mask (land=1 sea=0),surface,LAND,1
121,Sea ice mask,surface,ICEC,1
122,Mass point at eta surface mask,surface,LMH,1
123,Velocity point at eta surface mask,surface,LMV,1
124,Surface albedo,surface,ALBDO,1
125,Sea surface temperature,surface,WTMP,1
126,Pressure in boundary layer (30 mb means),pressure agl,PRES,6
127,Temperature in boundary layer (30 mb means),pressure agl,TMP,6
128,Potential temperature in boundary layer (30 mb means),pressure agl,POT,1
129,Dew point temperature in boundary layer (30 mb means),pressure agl,DPT,1
130,Specific humidity in boundary layer (30 mb means),pressure agl,SPFH,6
131,RH in boundary layer (30 mb means),pressure agl,RH,6
132,Moisture convergence in boundary layer (30 mb means),pressure agl,MCONV,1
133,Precipitable water in boundary layer (30 mb means),pressure agl,PWAT,1
134,U wind in boundary layer (30 mb means),pressure agl,UGRD,6
135,V wind in boundary layer (30 mb means),pressure agl,VGRD,6
136,Accumulated land surface model precipitation,surface,LSPA,1
137,Model top pressure,top of atmosphere,PRES,1
138,Pressure thickness,hybrid,PRES,1
139,Sigma pressure thickness,hybrid,PRES,1
140,Plant canopy surface water,surface,CNWAT,1
141,Ground heat flux (instantaneous),surface,GFLUX,1
142,Lifted index—surface based (500-1000 hPa),isobaric,LFTX,1
143,Convective available potential energy,surface,CAPE,1
144,Best cape,pressure above ground,CAPE,1
145,Mixed layer cape,pressure above ground,CAPE,1
146,Unstable cape,pressure above ground,CAPE,1
147,Convective inhibition,surface,CIN,1
148,Best cin,pressure above ground,CIN,1
149,Mixed layer cin,pressure above ground,CIN,1
150,Unstable cin,pressure above ground,CIN,1
151,LCL level pressure,pressure layer agl,PLPL,1
152,Helicity,height agl,HLCY,2
153,U component storm motion,height agl,USTM,1
154,V component storm motion,height agl,VSTM,1
155,Cloud bottom pressure,cloud base,PRES,1
156,Cloud top pressure,cloud top,PRES,1
157,Cloud top temperature,cloud top,TMP,1
158,Pressure at tropopause,tropopause,PRES,1
159,Height at tropopause,tropopause,HGT,1
160,Temperature at tropopause,tropopause,TMP,1
161,U component of wind at tropopause,tropopause,UGRD,1
162,V component of wind at tropopause,tropopause,VGRD,1
163,Wind shear at tropopause,tropopause,VWSH,1
164,Temperature at flight levels,height msl,TMP,10
165,U component of wind at flight levels,height msl,UGRD,10
166,V component of wind at flight levels,height msl,VGRD,10
167,Freezing level height,0 degree isotherm,HGT,1
168,Freezing level relative humidity,0 degree isotherm,RH,1
169,Highest freezing level height,highest tropospheric frz lvl,HGT,1
170,Maximum wind pressure level,max wind,PRES,1
171,Maximum wind height,max wind,HGT,1
172,U-component of maximum wind,max wind,UGRD,1
173,V-component of maximum wind,max wind,VGRD,1
174,Maximum wind speed at 10m,height agl,WIND,1
175,Cloud bottom height (above MSL),cloud base,HGT,1
176,Cloud top height (above MSL),cloud top,HGT,1
177,Visibility,surface,VIS,1
178,Composite radar reflectivity,entire atmosphere,REFC,1
179,Grid scale cloud bottom pressure,grid scale cloud bottom,PRES,1
180,Grid scale cloud top pressure,grid scale cloud top,PRES,1
181,Column integrated cloud water,entire atmosphere,TCOLW,1
182,Column integrated cloud ice,entire atmosphere,TCOLI,1
183,Column integrated rain,entire atmosphere,TCOLR,1
184,Column integrated snow,entire atmosphere,TCOLS,1
185,Column integrated total condensate,entire atmosphere,TCOLC,1
186,Column integrated graupel,entire atmosphere,TCOLG,1
187,Vegetation type,surface,VGTYP,1
188,Soil type,surface,SOTYP,1
189,Canopy conductance,surface,CCOND,1
190,Planetary boundary layer height,surface,HPBL,1
191,Snow depth,surface,SNOD,1
192,Snow sublimation,surface,SBSNO,1
193,Air dry soil moisture,surface,SMDRY,1
194,Soil moist porosity,surface,POROS,1
195,Minimum stomatal resistance,surface,RSMIN,1
196,Number of root layers,surface,RLYRS,1
197,Soil moist wilting point,surface,WILT,1
198,Soil moist reference,surface,SMREF,1
199,Canopy conductance - solar component,surface,RCS,1
200,Canopy conductance - temperature component,surface,RCT,1
201,Canopy conductance - humidity component,surface,RCQ,1
202,Canopy conductance - soil component,surface,RCSOL,1
203,Potential evaporation,surface,PEVPR,1
204,Surface wind gust,surface,GUST,1
205,Lowest wet bulb zero height,lowest lvl wet bulb zero,HGT,1
206,Leaf area index,surface,LAI,1
207,Clear sky incoming surface shortwave (instantaneous),surface,CSDSF,1
208,Cloud fraction on sigma surface,sigma,TCDC,22
209,Richardson number planetary boundary layer height,planetary boundary layer,HGT,1
210,Mixing height,surface,MIXHT,1
211,Temperature at 10m,height agl,TMP,1
212,Time-averaged percentage snow cover,surface,SNOWC,1
213,Time-averaged surface pressure,surface,PRES,1
214,Time-averaged 10m temperature,height agl,TMP,1
215,Time-averaged mass exchange coefficient,surface,AKHS,1
216,Time-averaged wind exchange coefficient,surface,AKMS,1
