No.,Field Description,Level Type,Short Name,nlvl
92,Height at tropopause,tropopause,HGT,1
93,Temperature at tropopause,tropopause,TMP,1
94,U component of wind at tropopause,tropopause,UGRD,1
95,V component of wind at tropopause,tropopause,VGRD,1
96,Wind shear at tropopause,tropopause,VWSH,1
97,Temperature at flight levels,height msl,TMP,8
98,U component of wind at flight levels,height msl,UGRD,8
99,V component of wind at flight levels,height msl,VGRD,8
100,Temperature at flight levels,height agl,TMP,2
101,U component of wind at flight levels,height agl,UGRD,6
102,V component of wind at flight levels,height agl,VGRD,6
103,Pressure at flight levels,height agl,PRES,1
104,Specific humidity at flight levels,height agl,SPFH,1
105,Freezing level height,0 degree isotherm,HGT,1
106,Freezing level relative humidity,0 degree isotherm,RH,1
107,Highest freezing level height,highest tropospheric frz lvl,HGT,1
108,Highest freezing level relative humidity,highest tropospheric frz lvl,RH,1
109,Temperature in layer between pressure levels,pressure layer agl,TMP,6
110,Dew point temperature in layer between pressure levels,pressure layer agl,DPT,1
111,Specific humidity in layer between pressure levels,pressure layer agl,SPFH,6
112,Relative humidity in layer between pressure levels,pressure layer agl,RH,6
113,Precipitable water in layer between pressure levels,pressure layer agl,PWAT,1
114,U component of wind in layer between pressure levels,pressure layer agl,UGRD,6
115,V component of wind in layer between pressure levels,pressure layer agl,VGRD,6
116,Relative humidity on sigma level 0.33-1.0,sigma level,RH,1
117,Relative humidity on sigma level 0.44-1.0,sigma level,RH,1
118,Relative humidity on sigma level 0.72-0.94,sigma level,RH,1
119,Relative humidity on sigma level 0.44-0.72,sigma level,RH,1
120,Temperature on sigma level 0.9950,sigma level,TMP,1
121,Potential temperature on sigma level 0.9950,sigma level,POT,1
122,Relative humidity on sigma level 0.9950,sigma level,RH,1
123,U component of wind on sigma level 0.9950,sigma level,UGRD,1
124,V component of wind on sigma level 0.9950,sigma level,VGRD,1
125,Omega on sigma level 0.9950,sigma level,VVEL,1
126,Maximum wind pressure level,max wind,PRES,1
127,Maximum wind height,max wind,HGT,1
128,U component of maximum wind,max wind,UGRD,1
129,V component of maximum wind,max wind,VGRD,1
130,Temperature at maximum wind level,max wind,TMP,1
131,Planetary boundary layer height,surface,HPBL,1
132,Convective cloud bottom pressure,convective cloud bottom,PRES,1
133,Convective cloud top pressure,convective cloud top,PRES,1
134,Average low cloud bottom pressure,low cloud bottom,PRES,1
135,Average mid cloud bottom pressure,mid cloud bottom,PRES,1
136,Average high cloud bottom pressure,high cloud bottom,PRES,1
137,Average low cloud top pressure,low cloud top,PRES,1
138,Average mid cloud top pressure,mid cloud top,PRES,1
139,Average high cloud top pressure,high cloud top,PRES,1
140,Average low cloud top temperature,low cloud top,TMP,1
141,Average mid cloud top temperature,mid cloud top,TMP,1
142,Average high cloud top temperature,high cloud top,TMP,1
143,Total cloud fraction on convective cloud layer,entire atmosphere,TCDC,1
144,Column integrated cloud water,entire atmosphere,CWAT,1
145,Total column relative humidity,entire atmosphere,RH,1
146,Total column ozone,entire atmosphere,TOZNE,1
147,Surface wind gust,surface,GUST,1
148,LCL level pressure,pressure layer agl,PLPL,1
149,Cloud fraction on pressure surface,isobaric,TCDC,39
150,U component of wind on theta surface,isentropic,UGRD,1
151,V component of wind on theta surface,isentropic,VGRD,1
152,Temperature on theta surface,isentropic,TMP,1
153,Potential vorticity on theta surface,isentropic,PVORT,1
154,Montgomery stream function on theta surface,isentropic,MNTSF,1
155,U component of wind on constant PV surface,potential vorticity surface,UGRD,8
156,V component of wind on constant PV surface,potential vorticity surface,VGRD,8
157,Temperature on constant PV surface,potential vorticity surface,TMP,8
158,Height on constant PV surface,potential vorticity surface,HGT,8
159,Pressure on constant PV surface,potential vorticity surface,PRES,8
160,Wind shear on constant PV surface,potential vorticity surface,VWSH,8
161,Average planetary boundary layer cloud fraction,boundary layer cloud layer,TCDC,1
162,Cloud work function,entire atmosphere,CWORK,1
163,Average zonal gravity wave stress,surface,U-GWD,1
164,Average meridional gravity wave stress,surface,V-GWD,1
165,Average water runoff,surface,WATR,1
166,Maximum 2m temperature,height agl,TMAX,1
167,Minimum 2m temperature,height agl,TMIN,1
168,ICAO height at maximum wind level,max wind,ICAHT,1
169,ICAO height at tropopause,tropopause,ICAHT,1
170,Sunshine duration,surface,SUNSD,1
171,Transport u component of wind,planetary boundary layer,UGRD,1
172,Transport v component of wind,planetary boundary layer,VGRD,1
173,Ventilation rate,planetary boundary layer,VRATE,1
174,Haines index,surface,HINDEX,1
175,Fraction of frozen precipitation,surface,CPOFP,1
176,Apparent temperature at 2m,height agl,APTMP,1
177,Instantaneous precipitation rate,surface,PRATE,1
178,Convective precipitation rate,surface,CPRAT,1
179,Snow mixing ratio on model surface,hybrid,SNMR,1
180,Rain mixing ratio on model surface,hybrid,RWMR,1
181,Cloud water mixing ratio on model surface,hybrid,CLWMR,1
182,Cloud ice mixing ratio on model surface,hybrid,ICMR,1
183,Graupel mixing ratio on model surface,hybrid,GRLE,1
184,Ice growth rate,height msl,ICEG,1
185,Soil type,surface,SOTYP,1
186,Vegetation cover,surface,VEG,1
187,Sea ice skin temperature,surface,ICETMP,1
